rainfall_intensity,cumulative_rainfall,occurrences,pixel
15.87168376,47.61505127,0,2_18
17.37213135,34.7442627,0,2_18
23.77319336,23.77319336,0,2_18
13.32600911,79.95605469,0,2_18
12.18414307,12.18414307,0,2_18
10.95962524,21.91925049,0,2_18
27.4181366,109.6725464,0,2_18
31.73828125,95.21484375,0,2_18
22.26257324,66.78771973,0,2_18
23.55957031,23.55957031,0,2_18
23.01025391,23.01025391,0,2_18
17.36602783,86.83013916,0,2_18
18.78356934,37.56713867,0,2_18
11.2991333,22.5982666,0,2_18
11.65008545,11.65008545,0,2_18
13.2522583,13.2522583,0,2_18
18.56994629,18.56994629,0,2_18
27.25219727,27.25219727,0,2_18
22.84240723,22.84240723,0,2_18
29.51049805,29.51049805,0,2_18
14.83154297,44.49462891,0,2_18
24.91760254,24.91760254,0,2_18
30.30395508,30.30395508,0,2_18
15.80810547,15.80810547,0,2_18
26.85546875,53.7109375,0,2_18
15.14816284,30.29632568,0,2_18
19.15435791,95.77178955,0,2_18
24.44458008,24.44458008,0,2_18
12.58087158,12.58087158,0,2_18
17.63916016,17.63916016,0,2_18
30.38482666,151.9241333,0,2_18
18.01681519,36.03363037,0,2_18
16.23153687,32.46307373,0,2_18
13.23318481,26.46636963,0,2_18
15.64025879,15.64025879,0,2_18
13.02337646,13.02337646,0,2_18
17.46877035,52.40631104,0,2_18
38.29956055,38.29956055,0,2_18
29.44946289,29.44946289,0,2_18
13.65280151,27.30560303,0,2_18
13.13781738,13.13781738,0,2_18
11.80267334,11.80267334,0,2_18
23.1628418,23.1628418,0,2_18
32.13500977,64.27001953,0,2_18
47.82104492,47.82104492,0,2_18
24.08854167,72.265625,0,2_18
11.39068604,11.39068604,0,2_18
13.01193237,52.04772949,0,2_18
16.49475098,16.49475098,0,2_18
14.72091675,29.4418335,0,2_18
21.10290527,21.10290527,0,2_18
10.6048584,10.6048584,0,2_18
12.35198975,24.70397949,0,2_18
17.02880859,34.05761719,0,2_18
19.39900716,58.19702148,0,2_18
20.02970378,60.08911133,0,2_18
22.93395996,22.93395996,0,2_18
15.88058472,31.76116943,0,2_18
16.97158813,33.94317627,0,2_18
12.32910156,24.65820313,0,2_18
15.4800415,15.4800415,0,2_18
17.35941569,52.07824707,0,2_18
19.69909668,19.69909668,0,2_18
12.03918457,12.03918457,0,2_18
12.44354248,12.44354248,0,2_18
17.98248291,35.96496582,0,2_18
13.36288452,26.72576904,0,2_18
13.83972168,13.83972168,0,2_18
19.27185059,19.27185059,0,2_18
15.19775391,30.39550781,0,2_18
16.35742188,16.35742188,0,2_18
15.8106486,47.4319458,0,2_18
